	Name					            		City			State		Score	Rank
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology    	Chennai			Tamil Nadu	43.43	87
Atal Bihari Vajpayee Indian Institute of Information Technology and Management  	Gwalior			Madhya Pradesh	43.41	88
Indian Institute of Information Technology Allahabad    			Prayagraj (Allahabad)	Uttar Pradesh	43.29	89
National Institute of Technology Goa    					Ponda			Goa		43.28	90
National Institute of Technology Agartala   				Agratala			Tripura		43.24	91
Chitkara University 							Rajpura			Punjab		42.48	92
Indian Institute Of Technology Dharwad  					Dharwad			Karnataka		42.36	93
AU College of Engineering (A)   						Visakhapatnam		Andhra Pradesh	42.32	94
National Institute of Technology Manipur    				Imphal			Manipur		42.28	95
R.V. College of Engineering 						Bengaluru			Karnataka		42.22	96
Indian Institute of Information Technology, Design and Manufacturing (IIITDM)   	Jabalpur			Madhya Pradesh	42.14	97
SR University   							Warangal			Telangana		42.09	98
Amity University Haryana, Gurgaon   					Gurugram, Haryana		Haryana		41.99	99
C.V. Raman Global University, Odisha    					Bhubaneswar		Odisha		41.93	100
